id,catalogNumber,naturemaprSurveyId,naturemaprSpeciesID,naturemaprProjectSpeciesId,naturemaprCategory1Id,naturemaprCategory2Id,naturemaprCategory3Id,naturemaprCategory1Title,naturemaprCategory2Title,naturemaprCategory3Title,scientificName,vernacularName,recordNumber,decimalLatitude,decimalLongitude,verbatimElevation,recordedBy,individualCount,occurrenceRemarks,imageCount,audio1,identifiedID,identifiedBy,dateIdentified,deviceName,deviceSpecification,deviceOperatingSystem,eventDate,eventTime,locality,stateProvince,basisOfRecord,dynamicProperties
f973ef83-c944-4742-80ef-931001b55aea,4409162,0,https://canberra.naturemapr.org/species/1195,0,431,49,0,Plant,Lily & Iris,,Arthropodium fimbriatum,Chocolate Lily,https://canberra.naturemapr.org/sightings/4409162,-35.390541666666664,149.01774444444445,603.52001953125,HelenCross,4 - 15,,4,,8083,michaelb,2021-11-22 00:37:47,Google,Pixel 4a (5G),12,2021-11-21,5:47:46,PaddysRiver,ACT,Human Observation,"{""catalogNumber"":4409162,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
8076eabd-c437-42e4-8ed0-593044cbbbd5,4409213,0,https://canberra.naturemapr.org/species/12176,0,431,48,0,Plant,Daisy,,Senecio diaschides,Erect Groundsel,https://canberra.naturemapr.org/sightings/4409213,-35.328625,149.09375,601.332,KL,3,,1,,22727,Tapirlord,2021-11-21 09:56:30,Apple,iPhone 11 Pro Max,,2021-11-21,5:43:00,Hughes,ACT,Human Observation,"{""catalogNumber"":4409213,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
0fdb190c-06d7-462e-8b15-00eab4a7cb38,4409187,0,https://canberra.naturemapr.org/species/9580,0,434,65,401,Bird,Other Birds,Intermediate size,Pachycephala rufiventris,Rufous Whistler,https://canberra.naturemapr.org/sightings/4409187,-36.166679,146.872672,0.0,KylieWaldon,3,This male flew out of a huge plane tree into the top of these spindly willows. But look at all those insects - just open wide and let them fly in!,2,,22513,ChrisAllen,2021-11-21 08:50:09,Canon,Canon EOS 70D,,2021-11-21,5:40:00,Wodonga,VIC,Human Observation,"{""catalogNumber"":4409187,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
83cd0a21-c1a7-4856-8240-c254a243c4aa,4409185,0,https://canberra.naturemapr.org/species/8119,0,434,65,400,Bird,Other Birds,"Small (Robin, Finch, Thornbill etc)",Malurus cyaneus,Superb Fairywren,https://canberra.naturemapr.org/sightings/4409185,-36.166794,146.873013,0.0,KylieWaldon,3,"Two females and a male. One female flew in, vibrated her wings and tails and then this happened. Then the second female flew in and did the same with same result. First time I've seen this. during the day the male chases them all around without result!",2,,22513,ChrisAllen,2021-11-21 08:50:43,Canon,Canon EOS 70D,,2021-11-21,5:38:00,Wodonga,VIC,Human Observation,"{""catalogNumber"":4409185,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
a32f04f5-507a-43d5-a9e5-fce43488abc6,4409259,0,https://canberra.naturemapr.org/species/4143,0,431,49,0,Plant,Lily & Iris,,Dianella revoluta var. revoluta,Black-Anther Flax Lily,https://canberra.naturemapr.org/sightings/4409259,-35.392155,149.020017,575.4,HelenCross,4 - 15,,3,,8082,RWPurdie,2021-11-21 21:45:07,NIKON,COOLPIX P900,,2021-11-21,5:36:00,PaddysRiver,ACT,Human Observation,"{""catalogNumber"":4409259,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
fed1e582-6bed-40ff-838f-5c8c7f02a8bc,4409258,0,https://canberra.naturemapr.org/species/13738,0,433,221,222,Insect,"Butterfly (Lepidoptera, Rhopalocera)",Nymph (Nymphalidae),Vanessa kershawi,Australian Painted Lady,https://canberra.naturemapr.org/sightings/4409258,-35.39257,149.017472,569.09,HelenCross,1,,1,,18247,MatthewFrawley,2021-11-21 20:00:06,NIKON,COOLPIX P900,,2021-11-21,5:25:00,PaddysRiver,ACT,Human Observation,"{""catalogNumber"":4409258,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
c8e2c527-59c1-452c-962f-9170982a4436,4409256,0,https://canberra.naturemapr.org/species/7136,0,433,1817,246,Insect,"Grasshopper, Cricket or Katydid (Orthoptera)",Grasshopper (several families),Keyacris scurra,Key's Matchstick Grasshopper,https://canberra.naturemapr.org/sightings/4409256,-35.393965,149.018477,572.3,HelenCross,1,,3,,9100,RogerF,2021-11-21 11:41:26,NIKON,COOLPIX P900,,2021-11-21,5:14:00,PaddysRiver,ACT,Human Observation,"{""catalogNumber"":4409256,""conservationLevelId"":7,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Very Rare \/ Threatened"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
bd1a9d7e-b26f-4517-8ea8-a328fc2edfbc,4409255,0,https://canberra.naturemapr.org/species/2264,0,434,62,0,Bird,Parrot,,Calyptorhynchus funereus,Yellow-tailed Black-Cockatoo,https://canberra.naturemapr.org/sightings/4409255,-35.393043,149.017608,563.3,HelenCross,4,Looking for grubs in Acacia rubida,4,,18546,Liam.m,2021-11-21 20:24:33,NIKON,COOLPIX P900,,2021-11-21,4:52:00,PaddysRiver,ACT,Human Observation,"{""catalogNumber"":4409255,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
f97a3983-d03b-4b9f-b12b-eb3eb5f2be96,4409171,0,https://canberra.naturemapr.org/species/11395,0,431,47,0,Plant,Pea,,Pultenaea subspicata,Low Bush-pea,https://canberra.naturemapr.org/sightings/4409171,-35.262764,149.173889,633.218,JaneR,16 - 100,low compact shrub flowers past peak and fading,3,,22727,Tapirlord,2021-11-21 09:44:50,Apple,iPhone 12 mini,,2021-11-21,4:42:00,Hackett,ACT,Human Observation,"{""catalogNumber"":4409171,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
3a52e375-87c3-4fc5-a538-04c4de6fef3f,4409168,0,https://canberra.naturemapr.org/species/13263,0,431,49,0,Plant,Lily & Iris,,Thysanotus tuberosus subsp. tuberosus,Common Fringe-lily,https://canberra.naturemapr.org/sightings/4409168,-35.262706,149.173828,638.265,JaneR,16 - 100,,3,,8082,RWPurdie,2021-11-21 21:52:34,Apple,iPhone 12 mini,,2021-11-21,4:36:00,Hackett,ACT,Human Observation,"{""catalogNumber"":4409168,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
77baec9e-f40a-4ef3-85cc-72b88e7943b6,4409156,0,https://canberra.naturemapr.org/species/13263,0,431,49,0,Plant,Lily & Iris,,Thysanotus tuberosus subsp. tuberosus,Common Fringe-lily,https://canberra.naturemapr.org/sightings/4409156,-35.391977777777775,149.02083333333334,599.6799926757812,HelenCross,4 - 15,,2,,8082,RWPurdie,2021-11-21 21:54:00,Google,Pixel 4a (5G),12,2021-11-21,3:58:19,PaddysRiver,ACT,Human Observation,"{""catalogNumber"":4409156,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
61ec288c-8b2a-4529-8193-a3e43bdb621c,4409217,0,https://canberra.naturemapr.org/species/12207,0,431,48,0,Plant,Daisy,,Senecio sp.,,https://canberra.naturemapr.org/sightings/4409217,-35.248961,149.077117,642.906,jgiacon,2,,1,,22727,Tapirlord,2021-11-21 10:02:43,Apple,iPhone 6,,2021-11-21,3:52:00,Bruce,ACT,Human Observation,"{""catalogNumber"":4409217,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
f7996fbf-47c0-44ef-a807-b54cf961acf6,4409218,0,https://canberra.naturemapr.org/species/1733,0,431,31,0,Plant,Climber / Mistletoe,,Billardiera scandens,Hairy Apple Berry,https://canberra.naturemapr.org/sightings/4409218,-35.2309,149.090544,643.644,jgiacon,3,,1,,22727,Tapirlord,2021-11-21 10:03:14,Apple,iPhone 6,,2021-11-21,3:38:00,Lawson,ACT,Human Observation,"{""catalogNumber"":4409218,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
da7a4f49-f3ba-434e-b5ac-a45372c01201,4409210,0,https://canberra.naturemapr.org/species/2822,0,431,1,0,Plant,Other Shrub,,Cheiranthera linearis,Finger flower,https://canberra.naturemapr.org/sightings/4409210,-35.014656,149.341019,761.917,KL,30,,3,,22727,Tapirlord,2021-11-21 09:51:52,Apple,iPhone 11 Pro Max,,2021-11-21,3:23:00,Gundaroo,NSW,Human Observation,"{""catalogNumber"":4409210,""conservationLevelId"":8,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Rare or uncommon Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
1fae61cb-c9af-4bad-8a0d-3d3aeb804cac,4409219,0,https://canberra.naturemapr.org/species/1509,0,431,8,0,Plant,Grass,,Austrostipa densiflora,Foxtail Speargrass,https://canberra.naturemapr.org/sightings/4409219,-35.243336,149.094253,643.644,jgiacon,44,,1,,8083,michaelb,2021-11-21 23:34:20,Apple,iPhone 6,,2021-11-21,3:19:00,Bruce,ACT,Human Observation,"{""catalogNumber"":4409219,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
37891206-8408-4e3a-81d5-53ff6a933929,4409214,0,https://canberra.naturemapr.org/species/11743,0,431,1,0,Plant,Other Shrub,,Rosa sp.,A wild rose,https://canberra.naturemapr.org/sightings/4409214,-35.216582,149.0283,0.0,pinnaCLE,1,,1,,22727,Tapirlord,2021-11-21 09:59:57,,,,2021-11-21,3:12:00,Latham,ACT,,"{""catalogNumber"":4409214,""conservationLevelId"":3,""invasivenessLevelId"":3,""sensitivityLevelId"":1,""conservationLevel"":""Exotic"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Noxious or High Risk Weed or Pest""}"
27b6138c-0629-4307-99a2-5be0d3b99e32,4409226,0,https://canberra.naturemapr.org/species/5445,0,434,69,0,Bird,Bird of prey,,Falco berigora,Brown Falcon,https://canberra.naturemapr.org/sightings/4409226,-35.342752,149.159357,584.8,RodDeb,1,carrying a rabbit,5,,18546,Liam.m,2021-11-21 09:56:48,Canon,Canon PowerShot SX70 HS,,2021-11-21,3:03:00,Symonston,ACT,Human Observation,"{""catalogNumber"":4409226,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
7d5808af-564c-4db9-a830-a82701d3da6a,4409234,0,https://canberra.naturemapr.org/species/6754,0,431,50,0,Plant,Other Wildflower or Herb,,Hypericum perforatum,St John's Wort,https://canberra.naturemapr.org/sightings/4409234,-35.2525,149.075928,629.154,jgiacon,23,,1,,22727,Tapirlord,2021-11-21 10:00:12,Apple,iPhone 6,,2021-11-21,2:50:00,Aranda,ACT,Human Observation,"{""catalogNumber"":4409234,""conservationLevelId"":3,""invasivenessLevelId"":3,""sensitivityLevelId"":1,""conservationLevel"":""Exotic"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Noxious or High Risk Weed or Pest""}"
de58c7f1-d9db-4130-8c9a-d0a963f28854,4409235,0,https://canberra.naturemapr.org/species/11840,0,431,8,0,Plant,Grass,,Rytidosperma pallidum,Red-anther Wallaby Grass,https://canberra.naturemapr.org/sightings/4409235,-35.250622,149.078903,629.154,jgiacon,200,,1,,8083,michaelb,2021-11-21 23:38:32,Apple,iPhone 6,,2021-11-21,2:48:00,Bruce,ACT,Human Observation,"{""catalogNumber"":4409235,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
fc70286e-eb0a-43c8-93d4-0a0a54c171a7,4409236,0,https://canberra.naturemapr.org/species/13263,0,431,49,0,Plant,Lily & Iris,,Thysanotus tuberosus subsp. tuberosus,Common Fringe-lily,https://canberra.naturemapr.org/sightings/4409236,-35.250703,149.077683,617.023,jgiacon,4,,2,,22727,Tapirlord,2021-11-21 10:04:06,Apple,iPhone 6,,2021-11-21,2:42:00,Bruce,ACT,Human Observation,"{""catalogNumber"":4409236,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
6cfe9c0b-4840-4c75-8925-46abac537489,4409229,0,https://canberra.naturemapr.org/species/9079,0,433,271,273,Insect,"True bug (Hemiptera, Heteroptera)","Shield, Stink & Jewel Bug (Pentatomoidea)",Notius depressus,Shield bug,https://canberra.naturemapr.org/sightings/4409229,-35.44382777777778,148.92951944444442,694.625732421875,Steve_Bok,1,,5,,8083,michaelb,2021-11-22 00:04:28,Apple,"iPhone12,1",14.8.1,2021-11-21,2:21:48,PaddysRiver,ACT,Human Observation,"{""catalogNumber"":4409229,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
c7dde7b8-1d54-4d5a-845e-36b39b206527,4409211,0,https://canberra.naturemapr.org/species/13770,0,431,50,0,Plant,Other Wildflower or Herb,,Verbascum virgatum,Green Mullein,https://canberra.naturemapr.org/sightings/4409211,-35.21667,149.027997,0.0,pinnaCLE,16 - 100,,2,,22727,Tapirlord,2021-11-21 09:54:06,,,,2021-11-21,2:19:00,Latham,ACT,,"{""catalogNumber"":4409211,""conservationLevelId"":3,""invasivenessLevelId"":2,""sensitivityLevelId"":1,""conservationLevel"":""Exotic"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Medium Weed or Pest""}"
809fd2c5-7bd8-4308-b844-46da0ab5e60e,4409231,0,https://canberra.naturemapr.org/species/10971,0,433,1817,246,Insect,"Grasshopper, Cricket or Katydid (Orthoptera)",Grasshopper (several families),Praxibulus sp. (genus),A grasshopper,https://canberra.naturemapr.org/sightings/4409231,-35.442947222222216,148.93013055555554,694.123291015625,Steve_Bok,1,,5,,9100,RogerF,2021-11-21 11:44:08,Apple,"iPhone12,1",14.8.1,2021-11-21,1:49:11,PaddysRiver,ACT,Human Observation,"{""catalogNumber"":4409231,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
daed70ac-3ef8-436b-9100-191bffdb45c4,4409232,0,https://canberra.naturemapr.org/species/4189,0,433,249,252,Insect,Moth (Lepidoptera),Geometer moth (Geometridae),Dichromodes estigmaria,Pale Grey Heath Moth,https://canberra.naturemapr.org/sightings/4409232,-35.44295,148.9301611111111,694.8582153320312,Steve_Bok,2,,2,,7041,ibaird,2021-11-21 09:49:46,Apple,"iPhone12,1",14.8.1,2021-11-21,1:48:23,PaddysRiver,ACT,Human Observation,"{""catalogNumber"":4409232,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
82a522c9-0290-4c29-b497-265ba672f3fa,4409276,0,https://canberra.naturemapr.org/species/13738,0,433,221,222,Insect,"Butterfly (Lepidoptera, Rhopalocera)",Nymph (Nymphalidae),Vanessa kershawi,Australian Painted Lady,https://canberra.naturemapr.org/sightings/4409276,-35.276446,149.0883,0.0,MatthewFrawley,4 - 15,,1,,18247,MatthewFrawley,2021-11-21 21:18:15,NIKON,COOLPIX B700,,2021-11-21,1:06:00,MolongloValley,ACT,Human Observation,"{""catalogNumber"":4409276,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
b6ad7806-fcb9-4339-8eb5-774af38e4fe1,4409275,0,https://canberra.naturemapr.org/species/6042,0,431,1,0,Plant,Other Shrub,,Grevillea alpina,Mountain Grevillea / Cat's Claws Grevillea,https://canberra.naturemapr.org/sightings/4409275,-35.275901,149.088966,0.0,MatthewFrawley,4 - 15,,1,,8082,RWPurdie,2021-11-21 21:41:47,NIKON,COOLPIX B700,,2021-11-21,0:58:00,MolongloValley,ACT,Human Observation,"{""catalogNumber"":4409275,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
562b9183-11f5-4715-94a8-17f099be75ea,4409157,0,https://canberra.naturemapr.org/species/2031,0,434,399,0,Bird,Cuckoo,,Cacomantis flabelliformis,Fan-tailed Cuckoo,https://canberra.naturemapr.org/sightings/4409157,-35.270923,148.905348,0.0,trevsci,1,,2,,18546,Liam.m,2021-11-21 06:28:34,SONY,ILCE-7RM3,,2021-11-21,0:46:00,Coree,ACT,Human Observation,"{""catalogNumber"":4409157,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
85cde6c3-6df1-4538-b201-7ea6ac4e8943,4409274,0,https://canberra.naturemapr.org/species/7108,0,431,30,0,Plant,Rush / Sedge / Mat Rush,,Juncus remotiflorus,A rush,https://canberra.naturemapr.org/sightings/4409274,-35.27096,149.090952,0.0,MatthewFrawley,101 - 1000,,5,,8082,RWPurdie,2021-11-21 21:43:09,NIKON,COOLPIX B700,,2021-11-21,0:45:00,MolongloValley,ACT,Human Observation,"{""catalogNumber"":4409274,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
af071c1a-3c7c-4317-8b40-d337f14e5efb,4409137,0,https://canberra.naturemapr.org/species/13262,0,431,49,0,Plant,Lily & Iris,,Thysanotus tuberosus,Common Fringe-lily,https://canberra.naturemapr.org/sightings/4409137,-35.247147222222225,149.08161944444444,645.8265991210938,goyenjudy,70,,2,,8083,michaelb,2021-11-21 01:32:25,Apple,"iPad8,10",15.1,2021-11-21,0:34:59,Bruce,ACT,Human Observation,"{""catalogNumber"":4409137,""conservationLevelId"":1,""invasivenessLevelId"":4,""sensitivityLevelId"":1,""conservationLevel"":""Local Native"",""sensitivityLevel"":""Not Sensitive"",""invasivenessLevel"":""Non-Invasive""}"
